product_id,product_name,description,price,quantity,status,supplier_id
3374,Laptop,"MacBook Pro",$1799.9,0000000030,A,9876
3034,Telephone,"Cordless Phone",$299.99,0000000040,A,3456
3034,Telephone,"Home telephone",$99.9,0000000025,A,8765
1234,TV,"Plate TV",$799.9,0000000020,C,9144
1234,TV,"Plate TV",$1499.99,0000000005,A,7671
2591,Camera,"Instant Camera",$179.5,0000000030,C,8642
1516,Mouse,"Wireless Mouse",$99.5,0000000028,A,3579
3034,Telephone,"Home Telephone",$169.99,0000000015,A,8692
2591,Camera,"Digital Camera",$499.9,0000000008,B,9512
3034,Telephone,"Home Telephone",$59.5,0000000020,A,8655
2591,Camera,"Digital Camera",$449.4,0000000050,A,3592
1234,TV,"Plate TV",$699.7,0000000005,B,7084
1516,Mouse,"Wireless Mouse",$69.9,0000000025,C,2345
3374,Laptop,Laptop,$1399.2,0000000010,B,1357
3374,Laptop,"Refurbished Laptop",$1099.1,0000000020,A,6954
1516,Mouse,"Wireless Mouse",$49.4,0000000050,B,9794
1516,Mouse,"Wireless Mouse",$69.5,0000000020,A,7807
1234,TV,"Plate TV",$599.3,0000000005,B,8672
3374,Laptop,Laptop,$1369.9,0000000015,A,4567
2591,Camera,Camera,$799.9,0000000050,B,7890
6276,TV,"Flat Screen 80 inch",$899.99,0000000005,B,8672
